feature_name,variance,target_linear_correlation,feature_importances
AC_VOUTB0_PRE of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,62.54469996,0.001347362,0.001009324
TR_TEMP_REG42 of 1103959_69_1133592_QPP,262.7991409,0.031253645,0.001006589
Dr_V_VR1V2DRA_OUT of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,3.99E-05,0.033003427,0.001006536
TR_TEMP_REG11 of 1103959_69_1133529_cp1_cp1p5_YPP,315.4910829,0.017842575,0.001006248
Dt_V_VR1V2DRA_M_OUT_DIG of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000104688,0.061594135,0.001000202
AC_SENSE_CLP of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,2.35E-05,0.093238448,0.000996805
EEPROM_SET_T0__,0.001105889,0.117523842,0.00099606
Zb_V_OBVOH_L_RAW of 1103959_69_JPP,0.000253159,0.048076512,0.000995099
AG_V_SELF_TEST_GAIN_6_4_1_RAW of 1103959_69_1133529_cp1,0.000845548,0.073847723,0.000994038
AG_V_SELF_TEST_GAIN_5_1_8_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000806919,0.106267188,0.000991336
AG_V_SELF_GAIN_7_4_1_N_RAW of 1103959_69_1133529_cp1,0.000799351,0.014930254,0.000990677
EEPROM_S2__,623.4114298,0.028824286,0.000987099
HH_CONT_CR_APMU of 1103959_69_JPP,0.000897436,0.022932431,0.000981282
KC_COIL_CL of 1103959_69_JPP,0.058426924,0.02212737,0.00097802
Ro_T_REFOSC_HV of 1103959_69_1133529_cp1p5,468.9734405,0.016445991,0.000976469
HH_CONT_SH_PTEN of 1103959_69_JPP,6.19E-06,0.104502493,0.000976126
AG_V_SELF_TEST_GAIN_9_1_2_RAW of 1103959_69_1133529_cp1,0.000679616,0.067396348,0.000975504
HH_CONT_SH_VINT of 1103959_69_JPP,0.016967373,0.055522563,0.000975232
AC_V_AFE_CLN_5_8_8_I0_RAW of 1103959_69_JPP,0.001350891,0.020565616,0.00096967
KK_LK_CM_LO of 1103959_69_JPP,0.544109888,0.036711438,0.000964696
AG_V_SELF_TEST_GAIN_12_2_1_VSS of 1103959_69_1133529_cp1_cp1p5_YPP,0.000140584,0.027833466,0.000961611
HH_CONT_CL_APMU of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.001978783,0.027589609,0.000958988
Sb_I_SCALBIAS_0_HV of 1103959_69_JPP,0.013711043,0.059533007,0.000956404
ROW of 1103959_69_JPP,208.7293629,0.050171521,0.000952189
Sb_I_SCALBIAS_0_LV of 1103959_69_JPP,0.01332281,0.060121184,0.000952067
ZB_V_V0FVBI00_M_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000246515,0.031897251,0.000951872
AG_V_SELF_TEST_GAIN_7_4_1_VSS of 1103959_69_1133529_cp1_cp1p5_YPP,0.000191639,0.02122349,0.000948615
HH_CONT_CR_APMU of 1103959_69_1133529_cp1_cp1p5_YPP,0.001704488,0.020599664,0.000947889
AC_VOFF_TGT of 1103959_69_1133529_cp1,3.58E-06,0.001238104,0.000947492
HH_CONT_VSS_APMU of 1103959_69_1133529_cp1_cp1p5_YPP,0.000339727,0.017133621,0.000943432
AC_V_AFE_CRN_5_8_8_I0_RAW of 1103959_69_JPP,0.00165401,0.069978721,0.000940411
Zb_V_OBVOH_RAW of 1103959_69_JPP,0.000218897,0.050062062,0.000939254
AG_V_SELF_TEST_GAIN_10_1_2 of 1103959_69_1133529_cp1_cp1p5_YPP,0.00030642,0.087299727,0.000936477
Gb_I_GBIAS_0 2 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.014697386,0.116982034,0.000931769
HH_CONT_SH_VINT of 1103959_69_1133592_QPP,0.001350312,0.03129798,0.000929354
OV_V_OB_VOUT of 1103959_69_1133529_cp1p5,0.000356653,0.029801039,0.000929335
IO_ISUPFM_PRE of 1103959_69_1133529_cp1_cp1p5_YPP,0.23336294,0.023717374,0.000928031
HH_CONT_CR of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000537701,0.084276845,0.000925129
KK_LK_CL_APMU_LO of 1103959_69_1133529_cp1,10667.5396,0.002750471,0.000922043
AG_V_SELF_GAIN_12_2_1_2C_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000606595,0.081325889,0.000921311
VV_V_3V3_UL of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000590162,0.047063546,0.00091805
HH_CONT_VSS_APMU of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.002679791,0.025020728,0.000917435
KK_LK_CR_APMU_HI of 1103959_69_1133529_cp1p5,0.215555023,0.011364839,0.000917197
AC_TRIALS of 1103959_69_JPP,0.032818857,0.13574961,0.000916916
AC_SENSE_CN_FG_SA of 1103959_69_1133529_cp1p5,0.000587466,0.121345211,0.000916411
KK_LK_OUT_HI of 1103959_69_1133529_cp1_cp1p5_YPP,694520.2732,0.049132829,0.00091554
Dt_V_VR1V2DRA_M of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,8.83E-06,0.034533212,0.00091176
AC_SENSE_CRN of 1103959_69_1133529_cp1,0.002792481,0.120591111,0.000911107
COL of 1103959_69_1133529_cp1,278.9622047,0.0523513,0.000909962
VV_V_3V3_2M of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000409832,0.030807784,0.000907563
Zb_V_OBVOL_VSS_L of 1103959_69_1133529_cp1p5,4.68E-05,0.026030061,0.000902706
Df_V_VR1V2D_OUT of 1103959_69_1133592_QPP,5.20E-05,0.033400546,0.000900959
AG_V_SELF_GAIN_12_2_1_2C_VSS of 1103959_69_1133529_cp1_cp1p5_YPP,0.000195643,0.022095319,0.000900036
AC_SENSE_CRN of 1103959_69_1133592_QPP,0.002961157,0.118296686,0.000898999
AG_V_SELF_TEST_GAIN_7_4_1 of 1103959_69_1133529_cp1,0.000424835,0.100344348,0.000892579
TR_TEMP_CALC of 1103959_69_JPP,23.03377138,0.024737037,0.000892503
Zb_V_OBVOL_L_RAW of 1103959_69_1133592_QPP,0.000200425,0.002661784,0.000891086
Zb_V_OBVOH_VSS of 1103959_69_1133529_cp1,4.59E-05,0.058513191,0.000890832
EEPROM_SET_T4__,143.1197645,0.051925828,0.000886182
Zb_V_OBVOL_H of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000732821,0.003829535,0.000885948
KK_LK_OUT_HI of 1103959_69_1133529_cp1p5,569732.8677,0.010345118,0.000885375
IO_ISUPFM_PRE of 1103959_69_1133592_QPP,0.329766026,0.023161875,0.000885046
AG_V_SELF_GAIN_9_1_2_N_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.00065881,0.012514274,0.000882276
AC_VOUTB0 of 1103959_69_1133592_QPP,56.7246037,0.001366871,0.00088224
AI_F_SAFE of 1103959_69_JPP,0.000692038,0.084496185,0.000881287
Df_V_VR1V2D_M of 1103959_69_1133529_cp1_cp1p5_YPP,0.000535641,0.034579738,0.00088017
AG_V_SELF_TEST_GA_5_1_8_2C_VSS of 1103959_69_1133529_cp1,0.000390298,0.067283375,0.000873271
Gb_I_GBIAS_0 of 1103959_69_JPP,0.008451099,0.107768842,0.000872003
AG_V_SELF_TEST_GAIN_11_2_1_RAW of 1103959_69_1133592_QPP,0.000459667,0.083856088,0.000870915
ZB_V_V0RA_N3MA of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000522946,0.018006929,0.00087024
AC_V_AFE_CLP_5_8_8_VSS of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000105601,0.090006442,0.000869697
AC_V_GAIN_AFE_CRP_5_8_8 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000628398,0.03665471,0.000868857
AG_V_SELF_TEST_GAIN_7_4_1_VSS of 1103959_69_1133529_cp1p5,0.000144112,0.026395783,0.000868336
HH_CONT_CR_APMU of 1103959_69_1133529_cp1p5,0.00164457,0.020658966,0.000867513
AG_V_SELF_TEST_GAIN_5_1_8_2C of 1103959_69_JPP,0.000561425,0.095811792,0.000867268
AC_SENSE_CAL of 1103959_69_1133592_QPP,507.057626,0.000358576,0.000867143
AG_V_SELF_TEST_GAIN_12_2_1_2C of 1103959_69_1133529_cp1_cp1p5_YPP,0.000347497,0.090925961,0.000867113
Df_V_VR1V2D_M of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.00076977,0.045238655,0.000865741
Sb_I_SCALBIAS_0_HV of 1103959_69_1133592_QPP,1.465166913,0.101528649,0.000865362
Gb_I_GBIAS_0 of 1103959_69_1133592_QPP,0.016420823,0.121643956,0.000863846
AG_V_SELF_TEST_GAIN_5_1_8_RAW of 1103959_69_1133592_QPP,0.000756712,0.105756078,0.000863187
AG_V_SELF_GAIN_9_1_2_N_VSS of 1103959_69_JPP,0.000103988,0.069862593,0.000860758
AG_V_SELF_TEST_GAIN_6_4_1_VSS of 1103959_69_1133529_cp1p5,0.000302518,0.02048316,0.000860119
Sb_I_SCALBIAS_0_HV of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,1.804486295,0.108966647,0.000860062
KK_LK_OUT_LO of 1103959_69_1133529_cp1_cp1p5_YPP,3392.984204,0.027987809,0.000857867
Zb_V_OBVOL_H_RAW of 1103959_69_1133592_QPP,0.000976171,0.001642016,0.000856591
Dt_V_VR1V2DRA_M_OUT of 1103959_69_1133592_RPP,7.07E-05,0.084173996,0.000855822
VV_V_3V3_M15M of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000172199,0.056091653,0.000854087
Zb_V_OBVOH_VSS_H of 1103959_69_1133529_cp1_cp1p5_YPP,4.46E-05,0.02924541,0.000853704
KK_LK_PTEN_HI of 1103959_69_JPP,1.328994881,0.057122916,0.000852375
VV_V_3V3_2M of 1103959_69_1133529_cp1,0.000392848,0.014739428,0.000844269
Zb_I_OBSHORTL of 1103959_69_1133592_QPP,1.111201471,0.139420571,0.000842707
HH_CONT_SH_OUT of 1103959_69_1133529_cp1_cp1p5_YPP,0.000209866,0.018511688,0.000842241
ROW of 1103959_69_1133529_cp1_cp1p5_YPP,359.5061844,0.044012849,0.000839928
Zb_V_OBVOH_H of 1103959_69_1133592_QPP,0.000187305,0.030659707,0.000839447
Zb_V_OBVOH of 1103959_69_1133529_cp1,0.000531838,0.063124541,0.000838223
AC_V_GAIN_AFE_CLN_5_8_8_RAW of 1103959_69_JPP,0.00138624,0.027844447,0.0008367
AC_V_GAIN_AFE_CN_FG_SA of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.043607158,0.113850164,0.000836342
AG_V_SELF_TEST_GAIN_6_1_4_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000534554,0.089869546,0.000835495
Df_V_VR1V2D_M of 1103959_69_1133529_cp1,0.000696994,0.011277031,0.000834799
Gb_I_GBIAS_0 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.014697386,0.116982034,0.000834552
Zb_V_OBVOL_L of 1103959_69_1133529_cp1p5,0.000857826,0.029996773,0.000833111
AG_V_SELF_TEST_GAIN_8_2_1_VSS of 1103959_69_1133529_cp1,0.000145711,0.063406413,0.000831815
AG_V_SELF_GAIN_7_4_1_N_VSS of 1103959_69_1133529_cp1,0.000178565,0.088047057,0.000830974
AC_V_AFE_CLN_5_8_8_VSS of 1103959_69_1133529_cp1p5,0.000653918,0.011493477,0.000828918
ZB_V_V0FVBI00_M_VSS of 1103959_69_1133529_cp1p5,0.000113423,0.020371825,0.000824809
Zb_I_OBSHORT of 1103959_69_1133529_cp1p5,0.339725878,0.087734972,0.000822849
HH_CONT_SH_PTEN of 1103959_69_1133529_cp1p5,5.87E-05,0.022812966,0.000822295
Ro_T_REFOSC_HV of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,375.300977,0.035341984,0.000820799
AG_V_SELF_TEST_GAIN_5_8_1_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.00080676,0.105552769,0.000815438
ZB_V_V0RA_P3MA of 1103959_69_1133592_RPP,0.000383221,0.066632905,0.000814761
AG_V_SELF_TEST_GAIN_12_2_1_VSS of 1103959_69_1133529_cp1p5,0.000304098,0.019299727,0.000807945
AG_V_SELF_GAIN_7_4_1_N_RAW of 1103959_69_1133529_cp1p5,0.001062252,0.051635416,0.000805549
AC_V_GAIN_AFE_CRP_5_8_8_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000710432,5.57E-05,0.000803804
HH_CONT_VSS_APMU of 1103959_69_1133529_cp1,0.004025436,0.031979109,0.000802221
AG_V_SELF_TEST_GAIN_5_1_8 of 1103959_69_1133592_QPP,0.00081548,0.101210084,0.000801378
AG_V_SELF_GAIN_9_1_2_N of 1103959_69_1133592_QPP,0.000541654,0.030311713,0.000800414
AG_V_SELF_TEST_GAIN_8_2_1 of 1103959_69_1133529_cp1_cp1p5_YPP,0.000271361,0.078551304,0.000800107
AC_OFFCALRES of 1103959_69_1133529_cp1_cp1p5_YPP,0.66020391,0.010239751,0.000798641
AG_V_SELF_TEST_GAIN_5_8_1 of 1103959_69_1133529_cp1_cp1p5_YPP,0.000709836,0.09766373,0.00079807
HH_CONT_SH_CL_APMU of 1103959_69_1133592_QPP,0.004834282,0.031152692,0.000795876
AC_V_AFE_CRN_5_8_8_I0 of 1103959_69_JPP,0.001531704,0.0485651,0.000794997
IO_ISUPFM_PRE of 1103959_69_JPP,0.131692281,0.071130457,0.000791146
AG_V_SELF_TEST_GA_5_1_8_2C_RAW of 1103959_69_1133529_cp1p5,0.001052213,0.108840109,0.000791094
AG_V_SELF_TEST_GAIN_9_1_2 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000296066,0.085521778,0.00079097
Df_V_VR1V2D_OUT of 1103959_69_1133529_cp1,4.99E-05,0.033903778,0.000788958
AG_V_SELF_TEST_GAIN_10_1_2_VSS of 1103959_69_1133592_QPP,0.000113113,0.001291122,0.000787577
HH_CONT_CL of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000522324,0.085342907,0.000783345
AG_V_SELF_TEST_GAIN_5_8_1_VSS of 1103959_69_1133529_cp1p5,0.000293838,0.027873839,0.000782187
Zb_I_OBSHORTL_VSS of 1103959_69_1133529_cp1p5,0.000105872,0.020730686,0.000781551
VV_V_3V3_2M of 1103959_69_1133592_QPP,0.000414808,0.019465606,0.00078001
AC_V_GAIN_AFE_CRN_5_8_8_RAW of 1103959_69_1133592_QPP,0.003771819,0.106325568,0.000778383
Ro_T_REFOSC_LV of 1103959_69_1133529_cp1p5,802.1677549,0.018466633,0.000775229
AG_V_SELF_TEST_GAIN_11_2_1_RAW of 1103959_69_1133529_cp1p5,0.000426487,0.061822042,0.000774833
VV_V_3V3_UL of 1103959_69_1133529_cp1,0.000533013,0.018423238,0.000774699
AG_V_SELF_TEST_GAIN_12_2_1_2C of 1103959_69_JPP,0.000347895,0.09340322,0.000774387
KK_LK_CM_HI of 1103959_69_1133529_cp1_cp1p5_YPP,3.727678109,0.087470626,0.000774282
KK_LK_PTEN_HI of 1103959_69_1133529_cp1,3.147434881,0.040347005,0.00077403
EX_EXTRACT_T_REFOSC of 1103959_69_1133529_cp1_cp1p5,2.886246058,0.070685033,0.000773241
AC_V_GAIN_AFE_CLP_5_8_8_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,0.000602702,0.035695179,0.000772359
ZB_V_V0FVBI00_M_RAW of 1103959_69_1133529_cp1,0.000204111,0.044055494,0.0007722
HH_CONT_OUT_APMU of 1103959_69_1133529_cp1p5,0.000129998,0.019250343,0.00077178
Df_V_VSS of 1103959_69_1133529_cp1_cp1p5_YPP,0.000101577,0.03360005,0.000771085
IO_ISUPFM of 1103959_69_1133529_cp1_cp1p5_YPP,0.610129889,0.110765257,0.000769479
AC_V_GAIN_AFE_CLN_5_8_8_RAW of 1103959_69_1133592_QPP,0.003689492,0.102491172,0.00076701
VV_V_3V3_M15M of 1103959_69_1133529_cp1_cp1p5_YPP,0.000188781,0.030043433,0.000764643
HH_CONT_SH_CM of 1103959_69_1133529_cp1,0.000143323,0.01373604,0.000764579
AC_V_AFE_CLN_5_8_8_VSS of 1103959_69_JPP,0.000110348,0.073315164,0.000763828
HH_CONT_CL_APMU of 1103959_69_1133529_cp1_cp1p5_YPP,0.001733747,0.01824342,0.000763031
AG_V_SELF_TEST_GAIN_8_2_1_VSS of 1103959_69_1133529_cp1p5,0.000150051,0.025779522,0.000762035
KK_LK_CL_APMU_HI of 1103959_69_1133529_cp1,0.230828904,0.012100026,0.000761802
HH_CONT_SH_CL of 1103959_69_1133529_cp1p5,6.85E-05,0.012440634,0.000761322
ZB_V_V0FVBIFF_M_VSS of 1103959_69_1133529_cp1,6.91E-05,0.059078753,0.000761082
HH_CONT_SH_VSS_APMU of 1103959_69_1133529_cp1_cp1p5_YPP,0.001428901,0.065337408,0.000759648
HH_CONT_SH_OUT of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000375879,0.027210945,0.000758377
OV_V_VSS of 1103959_69_1133529_cp1p5,0.000113325,0.02038356,0.000757107
KK_LK_OUT_LO of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,1029.698391,0.020513452,0.0007567
HH_CONT_SH_CL of 1103959_69_1133529_cp1,3.98E-05,0.042609459,0.00075588
AC_V_AFE_CRN_5_8_8_I0 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000969812,0.004048437,0.000755678
AG_V_SELF_TEST_GAIN_10_1_2_RAW of 1103959_69_JPP,0.000466562,0.099304474,0.000755637
AC_V_AFE_CN_5_8_8_I0 RPP,0.000733687,0.005244311,0.000755607
HH_CONT_CM of 1103959_69_1133529_cp1p5,0.000194152,0.104490448,0.000752998
KK_LK_PTEN_LO of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.875093114,0.006264593,0.000752864
AG_V_SELF_TEST_GAIN_5_1_8_VSS of 1103959_69_1133529_cp1p5,0.000284588,0.028172813,0.000752693
HH_CONT_CR of 1103959_69_1133529_cp1p5,0.000232807,0.092764103,0.000752287
AC_V_GAIN_AFE_CRP_5_8_8_RAW of 1103959_69_1133592_RPP,0.000664836,0.017354541,0.000751426
Zb_V_ILOUT_VSS of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,2.31E-05,0.040781642,0.000751093
COL of 1103959_69_1133529_cp1_cp1p5_YPP,278.9622047,0.0523513,0.00074798
HH_CONT_OUT of 1103959_69_JPP,0.000108125,0.052093149,0.000747749
COL of 1103959_69_1133529_cp1p5,278.9622047,0.0523513,0.000747714
KK_LK_CM_LO of 1103959_69_1133529_cp1_cp1p5_YPP,1.46491561,0.031158028,0.000747038
SensorOffset RPP,0.000859381,0.097283326,0.000746332
ROW of 1103959_69_1133529_cp1p5,359.5061844,0.044012849,0.000745868
AG_V_SELF_GAIN_7_4_1_N of 1103959_69_1133592_QPP,0.000742976,0.048361556,0.000745753
Zb_V_OBVOH_H of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000182995,0.046057817,0.000745041
AG_V_SELF_GAIN_7_4_1_N_VSS of 1103959_69_1133592_QPP,0.000220072,0.000122234,0.000744724
VV_V_3V3_M15M of 1103959_69_JPP,7.02E-05,0.009825679,0.00074352
Zb_V_OBVOL_L_RAW of 1103959_69_1133529_cp1,0.000377299,0.030061187,0.000743415
Zb_V_OBVOH_H of 1103959_69_1133529_cp1,0.000526758,0.063792083,0.000741977
AC_SENSE_CLN of 1103959_69_JPP,6.40E-05,0.048244836,0.000740265
Zb_V_OBVOH_L of 1103959_69_1133529_cp1p5,0.000555399,0.014303937,0.00073774
AG_V_SELF_TEST_GAIN_6_1_4_VSS of 1103959_69_1133529_cp1p5,0.000159885,0.026593106,0.000736837
AG_V_SELF_TEST_GAIN_10_1_2 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000313838,0.090431499,0.000733594
HH_CONT_PTEN of 1103959_69_JPP,4.96E-05,0.006084691,0.000726855
AI_V_V0FVBI_SELF_VSS of 1103959_69_1133529_cp1,0.000168471,0.071141263,0.000726602
HH_CONT_SH_CL_APMU of 1103959_69_JPP,0.00051463,0.03397359,0.000725326
Zb_V_OBVOH_H of 1103959_69_1133529_cp1p5,0.000568993,0.014693911,0.000725024
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133529_cp1,7.73E-06,0.008304939,0.000723857
Radius,258.836617,0.038623864,0.000723569
AG_V_SELF_TEST_GAIN_9_1_2 of 1103959_69_1133529_cp1_cp1p5_YPP,0.000287481,0.083009131,0.000720596
Zb_V_OBVOL_VSS_H of 1103959_69_1133529_cp1_cp1p5_YPP,6.02E-05,0.024624605,0.000718609
TR_TEMP_CALC of 1103959_69_1133592_QPP,13.45382891,0.005094991,0.000716066
HH_CONT_CL_APMU of 1103959_69_JPP,0.000930267,0.018859292,0.000714727
Zb_V_ILOUT_RAW of 1103959_69_1133529_cp1,0.000175268,0.010130601,0.000714569
HH_CONT_SH_OUT of 1103959_69_1133529_cp1,0.000367447,0.013687582,0.000709365
AC_SENSE_CAL of 1103959_69_1133529_cp1p5,9661.368778,0.070162572,0.000708462
HH_CONT_SH_CR of 1103959_69_1133529_cp1p5,6.99E-05,0.012567436,0.000707613
AI_V_V0FVUNI_SELF_RAW of 1103959_69_1133529_cp1p5,0.000178286,0.009805126,0.00070752
AC_V_AFE_CN_TGT_I0 of 1103959_69_1133529_cp1,0.000344489,0.056946477,0.000706987
Df_V_VR1V2D_M of 1103959_69_1133592_QPP,0.000673884,0.028919694,0.000706474
Zb_V_OBVOH_L_RAW of 1103959_69_1133529_cp1p5,0.000441628,0.007678131,0.000705713
AC_V_GAIN_AFE_CRN_5_8_8 of 1103959_69_1133592_QPP,0.003535374,0.108954832,0.000704972
AC_V_AFE_CLN_5_8_8_I0_VSS of 1103959_69_1133529_cp1,0.000231327,0.057510125,0.000704034
ZB_V_V0RA_P3MA_RAW of 1103959_69_1133592_RPP,0.000446501,0.040768588,0.000703849
AG_V_SELF_TEST_GAIN_11_2_1_RAW of 1103959_69_1133529_cp1_cp1p5_YPP,0.000506295,0.08771344,0.000702586
AG_V_SELF_TEST_GA_5_1_8_2C_VSS of 1103959_69_1133529_cp1_cp1p5_YPP,0.000418251,0.029626919,0.000701169
WF of 1103959_69_JPP,12.17614888,0.124826503,0.000700567
Zb_V_ILOUT of 1103959_69_1133592_QPP,0.000153521,0.028727617,0.000700531
AG_V_SELF_TEST_GAIN_6_4_1_RAW of 1103959_69_1133529_cp1p5,0.00043168,0.068443805,0.000699273
Zb_V_OBVOL_L_RAW of 1103959_69_JPP,0.000503018,0.047016374,0.000696154
AC_V_GAIN_AFE_CLN_5_8_8_RAW of 1103959_69_1133529_cp1p5,0.009542169,0.061647179,0.000695848
VV_V_3V3_2M of 1103959_69_JPP,0.000187276,0.028896579,0.000693649
AI_V_V0FVUNI_SELF of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,3.00E-05,0.008873485,0.000692322
EEPROM_SET_S3__,1044.872854,0.031226506,0.000691834
AC_V_GAIN_AFE_CN_FG_SA of 1103959_69_1133529_cp1p5,0.046962861,0.119945851,0.000691299
AC_V_AFE_CLN_5_8_8_I0_VSS of 1103959_69_JPP,0.000134414,0.075363336,0.000689794
HH_CONT_SH_CR of 1103959_69_JPP,5.62E-06,0.086763902,0.000689779
ZB_V_V0FVBI_UL of 1103959_69_1133529_cp1,0.000182153,0.012652596,0.000689047
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.037371618,0.114232736,0.000688981
KK_LK_VSS_APMU_LO of 1103959_69_1133529_cp1_cp1p5_YPP,259751.2847,0.017223603,0.000688592
AC_SENSE_CAL of 1103959_69_1133529_cp1_cp1p5_YPP,9625.914303,0.021962651,0.000687717
Ro_T_REFOSC_HV of 1103959_69_1133529_cp1_cp1p5_YPP,473.3155311,0.021302674,0.000687553
AG_V_SELF_TEST_GAIN_5_1_8 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.00069497,0.102561647,0.000686494
ZB_V_V0FVBI_UL_VSS of 1103959_69_1133529_cp1_cp1p5_YPP,9.78E-05,0.034541067,0.000682153
AG_V_SELF_TEST_GAIN_6_1_4_RAW of 1103959_69_1133529_cp1,0.000771205,0.075733651,0.000681042
AC_VOFF_TGT_PRE_TM of 1103959_69_1133529_cp1_cp1p5_YPP,0.00018375,0.001534332,0.000677737
AG_V_SELF_TEST_GAIN_9_1_2_VSS of 1103959_69_1133529_cp1p5,0.000214527,0.023131992,0.000677547
HH_CONT_SH_CL of 1103959_69_1133529_cp1_cp1p5_YPP,9.23E-06,0.037206082,0.000677277
Zb_I_OBSHORTL of 1103959_69_1133529_cp1p5,0.986678901,0.126224847,0.000675385
AG_V_SELF_TEST_GAIN_6_1_4_VSS of 1103959_69_JPP,8.42E-05,0.070905561,0.000675194
KK_LK_CL_APMU_LO of 1103959_69_1133529_cp1p5,6355.6129,0.000442639,0.000671893
AC_V_AFE_CRN_5_8_8_I0_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.001404031,0.020674977,0.000671269
Gb_I_GBIAS_0 2 of 1103959_69_1133592_QPP,0.016420823,0.121643956,0.000670428
Df_V_VR1V2D_OUT_RAW of 1103959_69_JPP,6.87E-05,0.080069067,0.000669121
SensorOffsetLRdiff YPP,0.014923208,0.04458721,0.000668108
Sb_I_SCALBIAS_0_HV of 1103959_69_1133529_cp1,1.983691696,0.111120889,0.000667964
Po_T_PTATOSC_LV of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,386.71716,0.058307334,0.000667449
ZB_V_V0FVBI00_M of 1103959_69_1133529_cp1_cp1p5_YPP,0.000137846,0.013400349,0.000667346
KK_LK_CR_APMU_LO of 1103959_69_1133592_QPP,21293.98354,0.00157686,0.000666485
AG_V_SELF_TEST_GAIN_6_1_4_RAW of 1103959_69_JPP,0.000525491,0.102550027,0.000666197
AC_OFFCALRES_PRE of 1103959_69_1133592_QPP,30.47555601,0.001937213,0.000665539
OV_V_OB_VOUT_DIG of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000565392,0.003261597,0.000664689
AC_VOFF_TGT_PRE of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,1.14E-05,0.009097997,0.000663416
Zb_V_ILOUT_RAW of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000165823,0.034357707,0.000661687
AC_SENSE_CAL of 1103959_69_JPP,2604.423596,0.02925243,0.000661541
AG_V_SELF_TEST_GAIN_11_2_1_VSS of 1103959_69_1133529_cp1,0.000144461,0.063575006,0.000661031
AG_V_SELF_GAIN_7_4_1_N of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,0.000718095,0.05386575,0.000660825
AG_V_SELF_TEST_GAIN_5_8_1_VSS of 1103959_69_1133529_cp1,0.000400011,0.06634749,0.00065974
AC_V_AFE_CN_FG_SA_I0 of 1103959_69_1133592_QPP,0.038545649,0.114610346,0.000659633
AG_V_SELF_TEST_GAIN_6_4_1_RAW of 1103959_69_1133592_QPP,0.000483027,0.087180914,0.000658125
OV_V_OB_VOUT of 1103959_69_1133529_cp1,0.000356214,0.019423148,0.000657329
Zb_V_OBVOL_H_RAW of 1103959_69_1133529_cp1p5,0.000679972,0.007975853,0.00065559
AG_V_SELF_TEST_GAIN_6_4_1 of 1103959_69_JPP,0.000346031,0.092321407,0.000654753
KK_LK_CM_LO of 1103959_69_1133529_cp1,1.588524788,0.002491335,0.000653307
